新聞,#genre#
三立iNEWS,tvbus://8Cm8PoXpA7e3V4q5U9gRmmmGGLXiZWib9786z8W7C1h7a86z7S#tvbus://7xaUgZdbh5QRHo2zXXEUYGy3j47tt4tfpeH39iNwGmftSZ4AME#tvbus://69WVYHi2tLC9mU1AYYcHsePLLF9usTb8JQTKat95cPrda9Vw8cEChFHtSHDe5#tvbus://5r9WjgvzdUoDunZeMHpjBb6ePywSSFRNSwHHc9T4CQJtBceNHZyxLE5xjUNod#tvbus://6WKsSrX9vvmDvJLfJZfBRkkVxrbRvpq9h1CdYvb5B4ngw57WEHHhnUYdbFUPd
寰宇新聞台,tvbus://8FW6CQgdnmzqUsnZBVnpPoLbscW8U42TfDdzMB2mRw2oNWCi6n#tvbus://8fd2sr8h9GM6xh7zS5h9JT9o6L24yctN8RzSBhESgisGHeX4Mg#tvbus://5Wbmpy8qYx6ECvxTdxD8TnP6Ubn5mS34a2PYLN8fpPFv5J4JRczcYxE4vPR12#tvbus://6XvUfysoHx2SwuCXwk8rrkhbqr6hPyWnNuMkNprSupLkxKVDbccmgiLrz8V4H#tvbus://6jkdSE4AxTv3y64eqY97v9yGK4jYLcjxEfVWDC85sY68rdEbXEFSE8qFdwMuo
TVBS新聞,tvbus://8L9szRfgZ4pXki9zoxAf9YmqpQm2gZ9GPmY3YioaKZfD4mGwFv#tvbus://8Z9MTYyke1Kk45QjA6qM9Kitb8RkVEPu49u32URbLccNX61LA7#tvbus://7PsuKYbyx1HmfcbzgCHr8gDS8edpLSpnBTJRRRYNYr3EuU4nc8#tvbus://6wPNdHpeznDEBdPnJND5CbrRWaWomS5UZkJWaNZ73Rjzy7QkD2#tvbus://7aj9PqHMh4tbZXBaWgVYXeyo7FKq1ywfd5vEchozVXiCpRfnPJ#tvbus://8DVqu9aMLH2vbdnAoVnWw5TDbijGJTR6RZHjk6L4LCVmb6Ck35#tvbus://69BxyanSzQCgWhHxxiweRUYumA56atwvX4xLSquf9unb3bLS9Y3mY2vj5PUvF




非凡新聞,tvbus://8hvSoaq5ExzUysN3NQhiBX3nrsCqZYMSHrFgJeZqsaRMB5bGUq#tvbus://73xq5ZEYqXCd4CB5w7eTjhnP3XEeNTBmSz9QJfRgi8JX6MAnYx#tvbus://7ZDsZvENatTKfFgphRCfcCSxG7QA69F4jt8wpsekTMLh6RZrKh#tvbus://6x4fRFAyjhqWjArUVzwy2QZqpLiEgsHd81FzXEQC4YdmfeoUVo#tvbus://7q5oTkhUWw6gvSR2AVGaP542aF4DzPAyydqF2ZgyrffqJJwWnL#tvbus://7CtUY9rRps3HwNva55Sw5U6JK2j3GnX5yYQHm1p1c33BWRvj6Q#tvbus://6H2PmemfDiyqvqyefVd3xUTR41kipN8nnbt1PGyt4Yq3A9jiEJ6tYaHociusM
壹電視新聞,tvbus://8MUCNHnQ6XnFRAyVnKcRsoJQrj7V3FyZcT5Tmr4PxDhfuf5Cac#tvbus://8JtrQzEXuEeVd3k5cAv3aYvbgSMQon1fCfb7nW3nV63THspYJP#tvbus://65ryeDVn2PVGQ73fHGSGkMqxxwXydqegpMT3Kv3w2aJp3zK921rJCLsvK5car#tvbus://5x9sknJgFF5tyZFmAATSabfX8EWJeUqh9jMajzZmqGfStzgH63S65Dio3WdPv#tvbus://6RG54MwymkPPzUQ479WCB9hr5BLwDyt9xNedKdmeT6yspRbwtLYTXmUvkM73Q
年代新聞台,tvbus://74MB7a5kGk5Cbnct2qJASHeK6GYrtcbawuEuuejtL2iAJkNVoj#tvbus://74QBUuK5Z1sDP4yuQAQCMcrbK2F5DMzjSjnc7Ewojzn2V4kCiK#tvbus://8ieWZ9f18JrbCeF4CW3G25h48obsv2AvHVX5LBHM5fcyP2P9Ng#tvbus://6ygqq5nXbGJpXbCHYrqQmHsQmzb7Dngt6Y9z2hDYarBkB1MVBm#tvbus://795mShmCxV7ADT29YhLBwokvt57ghdUH12ECZR3wN5FMXusV7N#tvbus://7KHa7sv7xXRmBrHwaemCkq4xf49fmPVuEEcCQwWPR2t6kFFWXa#tvbus://6eyoMUSgMdqLQ85ogrctqsXoQ6WmJTtuKWAe8Qd6R9LCBfmeQmvPVoUdxza51
三立新聞台,tvbus://8eTvXoNzJPmcw6HvtCVMJ4wvTeuBNcVqwQsBwY5jLWTHLLXyVr#tvbus://8fgwfy8LNW2ytQinXNyybJ2JTvV5r6FRQG3J4Us8ZXxdYWwoBE#tvbus://8dCw91U4FVKtpiczSqjveLPAHa6e8hAMkXnvkp4RAkezwFBUJi#tvbus://7FGHmpmY4JyxjrJ2nKpyuRE8zLpnaw2ZGmRkYaqNpF8WYT7KZ4#tvbus://8dFhBRAtzZDLX6f1E5RCxrMHqbPLWbq6VduEpAYP8P9Lf7RnpH#tvbus://7GsfpHGDVu6ijp3qNqZ84GRaYWFWLffnz2VWBPFsCw3Z3CQCKg#tvbus://5UKsrc8vjqZBpQ1cG6GRRmJ5YjwhPbRumf2hLx4k25cjP8TMpo1Jso925YwXS
民視新聞台,tvbus://8YCTFi7kMxVWz7oybQLnJ3HWFkvxvCyzaAAWHHZYfg2goP2cr2#tvbus://7rCTwXHcZLxqgFFx1X5BYpFLQ55tZzjLWQCHn8Vm6kVb2xSVw7#tvbus://6zEiCGXFVSMy3kCi9pYQxXp7qap8fSyxPaRvEazKaBQSGwHPWL#tvbus://7oCgWK6D8GN5rJFHzraz8M1PMLf9JGqVrENG5NkDUn3pYoYKp7#tvbus://8Ty6By4g6Y4by9UbEtyx2LYBU3jEuPQJ2F1VXuCs7yf1txvYEN#tvbus://7Ef3jqaoCM3RFypAt6stoeLm9YbCLr8ELAFEui9n9DnsPHCcZi#tvbus://6LnacdfQ8bG4TVdB8TXSgcJgk8DvMyWnvqxMrtp1uEEDu57EF746HK1BmVmhU
寰宇新聞台灣台,tvbus://8jWQgQXXSQ4oc6Vyphu3sZsqmbE8yy25aNyKheYxyTnNqqAt1p#tvbus://6umW85Gv3sqEZyaiVx2w51ZLDAyPAMupDP8qHXzPvYpVfwCmxh#tvbus://6eJZbe5dMCy6P6wHMHsextD29S4u9p2PympqMgG8zv7NgGGsrSEvpKFzpq6fX#tvbus://6G9La8eXEajt32EsgtUpBVWc6AQi1fV59Wrz8yYvEkxGprXPUqLyAjYEChSfQ#tvbus://611uFAfUVHRPtK28L8EQP84HEU3e9CF8miJNeoSfVSqyDVw1KCNDbsKr1qPHz
鏡新聞,tvbus://84dn5FWas3rkF4yABzNwMW1Z4J55PmUZk3E9zAr2kWCM6MEzY6#tvbus://8djHa4vejTjdEiMkKx2HhxNLgjAZvjC98gvYPGA2xdzjiVgSXX#tvbus://5ocwEM8SdUnWJn5RTC8mMMJC6Zf5VpzuyFPuWk1Vu2ZW759qVwG3vpiL86Woy#tvbus://5RLtCouM5iE5n9HTFrFvxyp2pDYL4VdfqmoDYh7b5XASZFkgTjhNf3dPPxUNa#tvbus://66AUnRThQo4cyQSSBdni3wKXkzMUG3YEHU1w6eXsz2qUAnU3bsnFxEYyCVxdB
東森財經新聞,tvbus://7SLqnsy9jpAzqugrzTQGtsfPaRkW1pRi1wiQ44hmy5coCgZWtG#tvbus://8EtmkwuxyBJgEMYSXqZFJ77Mfy6S5H931LZSM33F3sfgcBJgHo#tvbus://8YKVxSkFyiKr5bZX9fNk9mhqS8Zx72xWw1Y1Pivfkuq5yzj9Yc#tvbus://8fMdBzotQiVzgFA5MANp3Frz9t5n9iLSCmWgPYnfPtrwnEt3w2#tvbus://6uvqZA7yduuG9gq1EyFmvDMRWst5hXz38dpCqMzUTSbu4LWCcw#tvbus://7PGoZmmQkfwJvpxidCmhHU2tb2Qpm5YVPP8D27KEt1uUvF9EWE#tvbus://5ne7q3NMaAD8Ziy25puFWQMgfS6WW2699ASVjk1gzEmoi7MsAo36sJnaSjFkr
三立iNEWS,tvbus://8Cm8PoXpA7e3V4q5U9gRmmmGGLXiZWib9786z8W7C1h7a86z7S#tvbus://7xaUgZdbh5QRHo2zXXEUYGy3j47tt4tfpeH39iNwGmftSZ4AME#tvbus://69WVYHi2tLC9mU1AYYcHsePLLF9usTb8JQTKat95cPrda9Vw8cEChFHtSHDe5#tvbus://5r9WjgvzdUoDunZeMHpjBb6ePywSSFRNSwHHc9T4CQJtBceNHZyxLE5xjUNod#tvbus://6WKsSrX9vvmDvJLfJZfBRkkVxrbRvpq9h1CdYvb5B4ngw57WEHHhnUYdbFUPd
寰宇新聞台,tvbus://8FW6CQgdnmzqUsnZBVnpPoLbscW8U42TfDdzMB2mRw2oNWCi6n#tvbus://8fd2sr8h9GM6xh7zS5h9JT9o6L24yctN8RzSBhESgisGHeX4Mg#tvbus://5Wbmpy8qYx6ECvxTdxD8TnP6Ubn5mS34a2PYLN8fpPFv5J4JRczcYxE4vPR12#tvbus://6XvUfysoHx2SwuCXwk8rrkhbqr6hPyWnNuMkNprSupLkxKVDbccmgiLrz8V4H#tvbus://6jkdSE4AxTv3y64eqY97v9yGK4jYLcjxEfVWDC85sY68rdEbXEFSE8qFdwMuo
東森新聞,tvbus://7QRT1G4YH3c8gMm1JA611dBbm4vHJ2S8cVjuDSzMtkcdPgAy3r#tvbus://7AWQxjV8s5jUAD47rEHAfJh1UfEEcDLm5hY4wfKpVb5UWhMUhu#tvbus://6uYmHSMV7HXv5zfQmpRseSFYbjEEz61CULKXx9Z93vXAwytwS6#tvbus://7N34Rcwv6Hrv3Fe77buP1PxAddCETPDV3KBKr2CVZncCZBxB8p#tvbus://7aXEdzSiSvbhQX4qCyEuz7HqHDmxEDRgdXMEPW4C5PTfLkR7s7#tvbus://7Eav5id5K7Y2VG99QRsfqCLpMBwYE2AMzFYgR7AWtt3CHZhtkM#tvbus://63RfkhyVD1tQV8HDZ6P6dCR8VvsUv54KxG7s52PwrmxrFTZi9GiKxMSfFv2Hr
TVBS新聞,tvbus://8L9szRfgZ4pXki9zoxAf9YmqpQm2gZ9GPmY3YioaKZfD4mGwFv#tvbus://8Z9MTYyke1Kk45QjA6qM9Kitb8RkVEPu49u32URbLccNX61LA7#tvbus://7PsuKYbyx1HmfcbzgCHr8gDS8edpLSpnBTJRRRYNYr3EuU4nc8#tvbus://6wPNdHpeznDEBdPnJND5CbrRWaWomS5UZkJWaNZ73Rjzy7QkD2#tvbus://7aj9PqHMh4tbZXBaWgVYXeyo7FKq1ywfd5vEchozVXiCpRfnPJ#tvbus://8DVqu9aMLH2vbdnAoVnWw5TDbijGJTR6RZHjk6L4LCVmb6Ck35#tvbus://69BxyanSzQCgWhHxxiweRUYumA56atwvX4xLSquf9unb3bLS9Y3mY2vj5PUvF





壹電視新聞,tvbus://74JSGEzQtaX8HCzkCtifPVN7D9PwbQmAfUqv1bEjJwDGSJz9Ty#tvbus://6sRZV46xte4i5XpSXjwn67N5W7LLMQEPoXP78GHajqTEN8N8dh#tvbus://6dNpnkhY4hjVg6JeiNA19nG8M5BggJdYw3RvS5dEv6FyDTDdj2QR7wU4Q9noX#tvbus://5YK35pxiFWRzkSGqr4SPGisnLmHjwYUqTyGoCT618HpJ2WapC2Y2TYWxwBkbo#tvbus://6SofENjNGF1ZjddcnqpavWJQ4jWwLtUgThYLRRVMNMUWeCCaSU6iEU3c7R75F
年代新聞台,tvbus://7fkqZDMkSsAG9prCFMWtSLmabJEqs7qpnt7ZvAkmfFPn3MBRK3#tvbus://7SsyqyoLgP1oTX3DD4xJtGWzVYge1CUxEFhSyF1xRawSMN4Qb6#tvbus://5h2TZD5bBdVk6fkXE1wmVSVdLiy3adNKUpym41KfpjNvnUh9KGcWJEwFEd57K#tvbus://5Jv5rV9wMmdVnHPUTcLozVBdTWkyHLymSmLuubNPGXGpBQFdt3v5xzHjLNnAd#tvbus://6djXxs3VWPpKW154feZ1HCMpa3GKw9ikKo6Vci12C9kJ8iPWDW4nrecVSBvVZ
三立新聞台,tvbus://76zFjX53rGCK1a9wJizjVs6zbvjg8kCpwe1LbKRjLqrhRTPzMa#tvbus://7CrTkgyk1qVk2mW2YPsZwTf3YFgfpEAZHmLQjan7JZaVEckgtW#tvbus://6ChkpPaigRFC87vDuKbWuDk5LRRPMpoPJHLe17HhhBLZ1ur3erhWkvRyGRepb#tvbus://5MFbJvGBSHoBwyxUfJCewxS83CggMnsGbjwJGf2gqf6DdeDEBXAqjp7TgqaaJ#tvbus://6bs46xJg4dRFdkfGEdAUaA7JxvRCRs65zH3iGbcyXZhpEALM1A5NAxkkk1mbm
民視新聞台,tvbus://8TzrR7962fkq33DodesFgrKmhY6R1zBm1GfVqk2ekh42VMWZZA#tvbus://7QMcmjLrrns6uzoev1f78dNs1XTK9obbgW4e8S1wR4uuKVTY59#tvbus://5Q1RnAuBSsJkXwAicBRgyjbrHZkPn1GNMZo5c9XeKuxZ9frjnRyKJs2oH4MJ4#tvbus://5XW2tZRCJdsABzyZe1iUEQ78iWWVLAfhiYXQniddSiCeTSp5Zhbdoghm8KSBd#tvbus://5uMZARabTbhdatSvqSmLMdevB1oxHWziUU2AaenK7BpzhHCxYNePbJEYLwjQu
東森新聞,tvbus://8D3iyioc1hZWdFYJUZ62pA3tXnnPESW1WijfJ1x6642Y8oyJrP#tvbus://84fHQxNohXKceLEng4mRT2ZjzPE1eLuioWkd9NXCKV9zCw5S5y#tvbus://6i8biQTJPYDrvi7j7Q4x8ew7PkRWMg1do2SQaFoRxSe4cKKT8CCBqSXYxa3kC#tvbus://6UdAJdu2cpA8nRqQhTdxKmyBR5SSFcMQeaWY6fVdvuPwQSReVWgdheb9CYLMc#tvbus://6LGoLm4Vg5C2Jq4NRv7wZyjxCx7g55d1LZiQqvYXwi1hcKiiJnBV1UffDXjFs
非凡新聞HD,tvbus://8Tj5G9KR4nTsGY1t4QY3TSaPkTatKBx8qw8LqSiQXSwgUgSzzM#tvbus://8NFbx2K14PgC4JJPGZgb2i3V3MX32L48SA3B2uYJsZtGu8bLCM#tvbus://68S1rLWvpQbexjsvFm6qLbDmvH9HNBDKBYMeenmJ7dayZ6FVeQMRaYj6bPqCh#tvbus://5dBhskW72yjkggrYFzQKwRBZXBQqFTqbhpEifHAEux6mxSvMVBxBNsH9HaxTk#tvbus://5YK9XvfxQzk7hWy8R3gHdt6miBeorEaN87STfbQrAKe53NbNoq9A8tZBtMsFo
東森財經新聞,tvbus://753QsLPiR49nYkLx3RnA4ER9jm7xbQU1gueuft1fWXEa6ND4nm#tvbus://8g1LXHQGXiQzCqhijKjjNLqpx9UsunZNYykzPprZ6FFTMfUxH7#tvbus://5XDGsSARuVo3a6doXmhZgM7vyZkdqaR6nxMEK3U9eB4HXSGZZfSjN2aR5EYZY#tvbus://5SQH5Vx8WrJ4RpajboQzQ7sRBjWrtof8SYGVRpp6WsteYSjtBbMCh8wunttmR#tvbus://5YvHCdpozsb2PsEsYXvLv33669G6N7PgTHxGc8tYrP9unCDJ7i2TXNDwyizN9
TVBS新聞,tvbus://892JJ6hKkhvm6UXfsQLPRoV8FtdMie1CoGAcaWGxb8gqzNfZ5L#tvbus://6tAMX8a4NyD4Cs2L2kY9yTL69AdV5PYb8nfFvBeEpW4iYRgkpz#tvbus://5QNrjkR7gqAT8tPT6cZ1Z5JSZTYMCaSvCb3NbC7nEVWkr9yyqQaLy3T3X48Wp#tvbus://6VmcTdi8bRv8dpRAahSUKgfx7kag4Zztb5KuyMNPUpGq3ee2SS36SaxzwcgvX#tvbus://6eUsEbgaowemtGPraznPno7ChwVJXFyc6BT62LJZMfr3i4nr2SMcFAGMLyejG






緯來體育台,tvbus://8VtZA3biMbkATD2jVZHinwDGUHwhFytLg77vvhQp7ns3nspbRf#tvbus://86Pno2D4QsEXNndWtd3cUsT24Z4igCjQsLBrpo9GroM7uVvrMe#tvbus://6ewxfyKnuHZmu5HKsVU7HuzDoYrZNwueotdNepPfNPW6TkyBUH3Z3VhKoLm3a#tvbus://5U1TP6541mUPKamkRpPxtR59sCtYAdSbCt78Sz5Z7rRENUNBw7rnsXnYanPZP#tvbus://5uETkB4JpJGXxq3JpP1f7hhRpTbv4qoUiZo7SRx3ugm2WYq95BKHPmh9KVtZU
ELTA體育1台,tvbus://7d12HcswZTJa4Ez5TNc45cANvM7mKHh2QHV4gESgHswnkiCvvK#tvbus://7d3fXCst4zbbTYav4MUkkWb3xUupy3Pw8JFLmQEScv1bUwrAVA#tvbus://7vH4V7GVQqYndQxZApeFpzce9Ks34fxfXvRuYbVX7t3YTJtdrG#tvbus://8k21w9NHCd77QwchE5FC49JZpscTp6fHZynnVgN8XgKPHogsqM#tvbus://73Nd1L9WctvfSAh13VkYEdo2xG9RHUpMG2WsUfijDLwiNi9C8n#tvbus://7smUPmK3LCox7EDzspEZk9pxRprLyMTiFie162F9jpudKxHGaT#tvbus://5SvSe4DWbjqTQCgmJufLNi4d7stJk3bgeEEEnJU5EgGSRuevpUpqAuWE8zWV9
ELTA體育2台,tvbus://893JcFo5iV2UJur1VGLXsZYWkWR3ZYd5jRtkBACZ17Qgsa1jeD#tvbus://7txDbpM7a56svghDFCGbmKZQ3YxfDrj2XJz9w7ztH9yC124kEs#tvbus://87uLGYViQLCd5c83boGfYzpLGSXUkYWeA3v5JHpxvFCQi51hCv#tvbus://7CY2i4YCpPsxJkPQRXLgWGMcwJTUgb2tAw2w7q6gaTk3MRTA7p#tvbus://8HqawEw6gY8XRgQUZSCnUgFxyYAtLdpWTcQ5y9SCymoWV42PYq#tvbus://6x9sD7mjTHkpFZFuYZpwN9zDaMpbvVLUXNUywZn521dABXzyXP#tvbus://6ZS6VJhQXBk1zLsgPGZLGCUZMjGjntR9GSVgqNNnp91jkBX7dn6ftcBTbWpcW
ELTA體育3台,tvbus://7VSo5spRj261zubpZ41P4h1RTqKRZYSBrhWaEv4LATjbYAF5u9#tvbus://75oNQqeGXzokdz8xWuRifoko49uGSvNPk4sUXneCmcWhrPZMmZ#tvbus://8H87dsjoYq2dTifqkUcV3n1kwqWb3mmAJ2LT62fG71xgTjU1cP#tvbus://83bmVSk2pHdukCRWUjqBYxHjtCUhdqg8rJCnSMM67f48XntQEx#tvbus://7RJ7GPL3RxZyB25QUFteG4PLWCSvEUXCXS7yJyLin4x9RSECAK#tvbus://7QuaU1qpkv7vcvSKoZvb3iGCAZ2xiHrCtX5TGWniXkvzzdeNkd#tvbus://6H28TyWnjmpJgknc68iCEe8bx7593TeZ1YU4bo7Lqixb7H8zSbVHEFcEex84x
ELTA體育3台(备:1),tvbus://6s167vJiTr2rPeiLzrTDBboWj2n8jBWHUjNMyvD9Sbc4QndEwA#tvbus://7tieka81dsq2c7u17UiFLNAp3NdNzq8PuFTQdBVbL5TJTfMYQy#tvbus://7Ma3QnF5kD4wMf5o6NdAQKdJau6eJ3tuHcqUSzpdm5imqKSWDV#tvbus://7wKMdmbbofT4TA31p1vFm68NteJMAUvTKE6ZNBou3sRL6nkDQz#tvbus://7abZ8zyBJL1cNckxZeufYTU7rpg3vy8wP11X5S7u8eJ2q89uiX#tvbus://75nbBaPRwmxQ4nLYxu9kwWdU5i2oVeuNx6XbSJGB6BNxXD6fdR#tvbus://6CZF98jTjf9Hg2kpjqQaxA6Szxez654e8CJq4nELK1edj8DsT7tQpo6vw9V3U
ELTA體育4台,tvbus://7wzjimj9z94DbCrJwNQFZXEuBgJqEUrjfWqziC1kqDW4JYCCSP#tvbus://79CtQyor7phwbzo9gQmRyL6BTiYb7mY7X9wzMvGFPTkAN2ZFgM#tvbus://5rwrj9tcnrYTqcNKa5YtFZ7ykznQNWjNMkvtEqv2AXGT9HjqUi9HGPTcCaZuB#tvbus://6giFRMbmYZFHRetQ4PPtwm4QNrJrCjuPuNf5EXM27cpKtNzADmnvFfHQgXPdW#tvbus://5xKSsbMaKACgLbT4N1917M44LuSh4RPu83B2HdXT58XcBgXW76wnuymyteTX7





TVBS HD,tvbus://77Pviy4K1zCHukQ3DnaETPbQf79FQNM3AmiYrtMhGTE9qe6Tu8#tvbus://8Wra9xR4dncbTn7zihpQoXg95Z3yHXUkpjfkjJcfYXZKG57h1F#tvbus://8UQUMr3ks3jZpDYs8Cgz5sg3qA1itEfEYWsozoif1x3neoDUct#tvbus://6yeA1EMv6s27nkRpd2bZeSRgxqxfTq4gQabjfQ6j4zpMxcdYkp#tvbus://8e4KxaamGWDoBZKuQ5YczWZ5DBvKbtq9NbdiWkw1gVhJXhpUVW#tvbus://7NS1Fs47RMpddCPr4UqqjAiS7BAf1vktKe74WTkDtFfAT8ETBT#tvbus://6JT2qnPki5R7yTUESPMdgdyUbu3sNQ9SfY8p6FEUi8RCsAvuMeysXi9awjc7c
TVBS HD(备:1),tvbus://7rya7Bdd3zsXFvJNCau592XEhsER7f7qTtQoEKrB7Euq4CukwW#tvbus://7UKx1M3rdxDAbnyA4HHrJWDad7mpiSo8h3vhCovdHacMKJJpzh#tvbus://6W993Puz4v48ctYcCZkgNBZjESA5F6Wsv6b9bTZ8saXAonbiUXtrqyLzNVt9L#tvbus://6XTaXzCufWB7wMyDizZeYB3fwohAnSC6KPHgZZy5LAfMwsKBUvoNf4cdFZ49V#tvbus://5bWtCLaPWEpRnLmJWBnvDXDgWpnin89GxB2ytNLphVLpD1wV4vQWt1qJqLLsX
