台灣新聞,#genre#
民視新聞,http://50.7.234.10:8278/ftvnew_taiwan/playlist.m3u8?tid=MF1F9892989898929898&ct=19234&tsum=454a768519608690638d11c0258cdcbe
非凡新聞,http://50.7.234.10:8278/feifannews_twn/playlist.m3u8?ct=17874&tid=m050e7aad65f614336734&tsum=4ea1b829d195ac69a6c2ca51b21ae378
非凡新聞,http://50.7.234.10:8278/feifannews_twn/playlist.m3u8?tid=ME3E6962233269622332&ct=19225&tsum=eea4d84db71e12ba91bfcf328f4dec9d
台視新聞,http://50.7.234.10:8278/ttvnews_twn/playlist.m3u8?tid=MBBB6637589866375898&ct=19234&tsum=d2c641a325bf02e0b68c4f245e0165b0


三立新聞,https://www.youtube.com/watch?v=MV9mI0GChwo
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
東森新聞,https://www.youtube.com/watch?v=V1p33hqPrUk
寰宇台灣,https://www.youtube.com/watch?v=w87VGpgd90U
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
TVBS新聞,https://www.youtube.com/watch?v=m_dhMSvUCIc
寰宇新聞,https://www.youtube.com/watch?v=6IquAgfvYmc
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
三立iNEWS,https://www.youtube.com/watch?v=pF507BLtbqU
東森財經,https://www.youtube.com/watch?v=1I2iq41Akmo
非凡新聞,http://211.23.114.106:8506/http/61.221.81.94:8088/hls/75/817/ch57.m3u8?token=
非凡新聞,http://50.7.234.10:8278/feifannews_twn/playlist.m3u8?tid=m050e7aad65f614336734&ct=17874&tsum=4ea1b829d195ac69a6c2ca51b21ae378
非凡新聞,rtmp://f13h.mine.nu/sat/tv581
非凡新聞,http://litv.zapi.us.kg/?id=4gtv-4gtv010

非凡新聞,http://50.7.234.10:8278/feifannews_twn/playlist.m3u8?tid=ME3E6962233269622332&ct=19225&tsum=eea4d84db71e12ba91bfcf328f4dec9d



三立新聞,https://stream1.freetv.fun/san-li-xin-wen-6.ctv
三立新聞,https://stream1.freetv.fun/e12a5ecb3e0328b72c684ffe48cb7382b9b3e283c0c99492612b5af06b539153.ctv


壹新聞,http://211.23.114.106:8529/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
壹新聞,http://211.23.114.106:8516/http/61.221.81.94:8088/hls/66/808/ch24.m3u8?token=
壹新聞,http://211.72.65.236:8548/.m3u8
壹新聞,http://211.23.114.106:8539/.m3u8




年代新聞,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
年代新聞,https://stream1.freetv.fun/nian-dai-xin-wen-1.m3u8
年代新聞,p3p://167.114.175.6:55331/5fe09fec000ac0127462c4ac6b1f16a3
年代新聞,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
年代新聞,http://211.23.114.106:8502/http/61.221.81.94:8088/hls/67/809/ch27.m3u8?token=

年代新聞,https://stream1.freetv.fun/nian-dai-xin-wen-1.ctv
















